taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
6908,2016-12-3 16:30:00,2016-12-3 16:45:00,720,1.7,,16,33,32,8.75,0.00,0.00,0.00,8.75,Cash,82,728,277,18,610
1811,2016-12-20 09:00:00,2016-12-20 09:00:00,300,0,,16,32,32,5.00,2.00,0.00,0.00,7.00,Credit Card,8,18,610,18,610
8031,2016-12-30 12:00:00,2016-12-30 12:00:00,600,0,,307,28,32,7.50,3.00,0.00,2.50,13.00,Credit Card,8,411,545,64,231
5025,2016-12-28 12:45:00,2016-12-28 13:00:00,540,0,,970,32,8,6.75,0.00,0.00,1.00,7.75,Cash,8,18,610,210,470
349,2016-12-20 09:30:00,2016-12-20 09:45:00,720,2,,32,28,28,9.50,3.00,0.00,0.00,12.50,Credit Card,92,395,408,428,409
3763,2016-12-14 11:45:00,2016-12-14 11:45:00,240,0,,504,32,32,6.50,4.00,0.00,0.00,10.50,Credit Card,8,18,610,744,605
5796,2016-12-5 09:45:00,2016-12-5 09:45:00,300,0,,16,32,32,5.75,0.00,0.00,0.00,5.75,Cash,8,744,605,18,610
8632,2016-12-22 18:15:00,2016-12-22 18:30:00,780,0,,40,8,28,8.00,0.00,0.00,0.00,8.00,Cash,107,210,470,395,408
2918,2016-12-10 14:00:00,2016-12-10 14:15:00,660,0,,504,8,32,7.75,2.00,0.00,1.00,10.75,Credit Card,8,161,649,744,605
2819,2016-12-26 23:00:00,2016-12-26 23:00:00,300,0,,970,8,8,5.25,0.00,0.00,2.00,7.25,Cash,8,294,113,210,470
2004,2016-12-5 18:00:00,2016-12-5 18:15:00,300,0.6,,307,8,32,5.25,0.00,0.00,0.00,5.25,Cash,10,210,470,64,231
8069,2016-12-19 19:15:00,2016-12-19 19:30:00,1020,2,,307,8,32,10.75,2.15,0.00,0.00,12.90,Credit Card,10,207,239,64,231
5857,2016-12-27 10:00:00,2016-12-27 10:15:00,1260,17.5,,911,76,8,43.00,0.00,0.00,5.00,48.00,Cash,101,225,6,688,206
2139,2016-12-29 08:30:00,2016-12-29 08:45:00,420,1.8,,40,32,28,8.75,0.25,0.00,0.00,9.00,Credit Card,107,18,610,395,408
2545,2016-12-26 18:00:00,2016-12-26 18:00:00,600,1.5,,179,28,32,8.00,0.00,0.00,1.00,9.00,Cash,43,411,545,30,405
7141,2016-12-16 14:45:00,2016-12-16 14:45:00,540,0,,911,32,8,7.00,0.00,0.00,0.00,7.00,Cash,109,744,605,688,206
4761,2016-12-28 12:15:00,2016-12-28 12:15:00,300,0.9,,959,32,8,5.75,0.00,0.00,0.00,5.75,Cash,92,744,605,167,754
7057,2016-12-16 20:00:00,2016-12-16 20:15:00,900,3.2,,749,33,28,11.50,2.85,0.00,0.00,14.35,Credit Card,109,728,277,681,196
8632,2016-12-8 08:45:00,2016-12-8 09:00:00,660,0,,16,32,32,7.75,1.50,0.00,0.00,9.25,Credit Card,107,30,405,18,610
6611,2016-12-21 14:45:00,2016-12-21 14:45:00,180,0.6,,807,32,28,5.00,1.00,0.00,0.00,6.00,Unknown,107,18,610,411,545
