taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
229,2016-12-12 19:30:00,2016-12-12 19:45:00,240,0.7,,40,32,28,5.5,2,0,0,7.5,Credit Card,101,41.880994471,-87.632746489,41.885300022,-87.642808466
4680,2016-12-09 18:15:00,2016-12-09 18:15:00,480,0,,899,8,8,6.25,0,0,0,6.25,Cash,107,41.900265687,-87.63210922,41.892072635,-87.628874157
8014,2016-12-20 21:30:00,2016-12-20 21:30:00,180,0,,911,8,8,5,0,0,0,5,Cash,8,41.892042136,-87.63186395,41.890922026,-87.618868355
3600,2016-12-01 18:00:00,2016-12-01 18:15:00,540,1,,179,28,32,7,0,0,0,7,Cash,101,41.879255084,-87.642648998,41.870607372,-87.622172937
2448,2016-12-16 12:15:00,2016-12-16 12:30:00,540,0,,307,8,32,8.25,2,0,0,10.25,Credit Card,8,41.899155613,-87.626210532,41.877406123,-87.621971652
5025,2016-12-01 14:15:00,2016-12-01 14:45:00,1560,0.7,,960,32,56,29.75,5.95,0,0,35.7,Credit Card,8,41.880994471,-87.632746489,41.785998518,-87.750934289
2041,2016-12-14 12:45:00,2016-12-14 12:45:00,420,0,,970,32,8,6.5,1,0,0,7.5,Credit Card,107,41.884987192,-87.620992913,41.892507781,-87.626214906
1284,2016-12-20 18:15:00,2016-12-20 18:30:00,1020,1.5,,225,32,8,9.75,0,0,1.5,11.25,Cash,107,41.877406123,-87.621971652,41.892042136,-87.63186395
3612,2016-12-10 12:45:00,2016-12-10 12:45:00,420,0,,334,8,8,6.5,0,0,0,6.5,Cash,107,41.89321636,-87.63784421,41.899155613,-87.626210532
5832,2016-12-22 17:15:00,2016-12-22 17:15:00,720,1,,807,32,28,8,0,0,1,9,Cash,109,41.884987192,-87.620992913,41.879255084,-87.642648998
1473,2016-12-22 20:45:00,2016-12-22 21:00:00,720,1.6,,16,8,32,8.75,0,0,2,10.75,Cash,107,41.89503345,-87.619710672,41.880994471,-87.632746489
5899,2016-12-14 16:30:00,2016-12-14 17:15:00,3180,17.2,,313,28,76,43.25,12.05,0,5,60.3,Credit Card,3,41.879255084,-87.642648998,41.97907082,-87.903039661
4251,2016-12-02 22:30:00,2016-12-02 22:30:00,120,0.1,,66,24,24,3.75,2,0,0,5.75,Credit Card,101,41.906025969,-87.675311622,41.911972301,-87.683642922
1924,2016-12-20 19:30:00,2016-12-20 19:45:00,540,0,,334,8,8,7.5,0,0,0,7.5,Cash,107,41.89321636,-87.63784421,41.899155613,-87.626210532
2743,2016-12-23 16:45:00,2016-12-23 17:00:00,660,0.3,,504,32,32,6.75,0,0,1,7.75,Cash,109,41.880994471,-87.632746489,41.884987192,-87.620992913
